linguagem,tamanho_nome,tamanho_n,cenario,repeticao,padrao_m,ocorrencias,tempo_segundos,tempo_ns
Python,pequena,1000,melhor,1,17,1,0.000050900000,50900
Python,pequena,1000,melhor,2,17,1,0.000050799999,50799
Python,pequena,1000,melhor,3,17,1,0.000049699998,49699
Python,pequena,1000,melhor,4,17,1,0.000049800001,49800
Python,pequena,1000,melhor,5,17,1,0.000049600001,49600
Python,pequena,1000,melhor,6,17,1,0.000049900000,49899
Python,pequena,1000,melhor,7,17,1,0.000049600001,49600
Python,pequena,1000,melhor,8,17,1,0.000049799999,49799
Python,pequena,1000,melhor,9,17,1,0.000049800001,49800
Python,pequena,1000,melhor,10,17,1,0.000049700000,49700
Python,pequena,1000,melhor,11,17,1,0.000049900000,49899
Python,pequena,1000,melhor,12,17,1,0.000049700000,49700
Python,pequena,1000,melhor,13,17,1,0.000049400000,49399
Python,pequena,1000,melhor,14,17,1,0.000049600001,49600
Python,pequena,1000,melhor,15,17,1,0.000049599999,49599
Python,pequena,1000,melhor,16,17,1,0.000049400000,49399
Python,pequena,1000,melhor,17,17,1,0.000066999999,66999
Python,pequena,1000,melhor,18,17,1,0.000050100001,50100
Python,pequena,1000,melhor,19,17,1,0.000049600001,49600
Python,pequena,1000,melhor,20,17,1,0.000049100001,49100
Python,pequena,1000,melhor,21,17,1,0.000049400001,49400
Python,pequena,1000,melhor,22,17,1,0.000049299999,49299
Python,pequena,1000,melhor,23,17,1,0.000049599999,49599
Python,pequena,1000,melhor,24,17,1,0.000050200000,50200
Python,pequena,1000,melhor,25,17,1,0.000049999999,49999
Python,pequena,1000,melhor,26,17,1,0.000050099999,50099
Python,pequena,1000,melhor,27,17,1,0.000049700000,49700
Python,pequena,1000,melhor,28,17,1,0.000049799999,49799
Python,pequena,1000,melhor,29,17,1,0.000049799999,49799
Python,pequena,1000,melhor,30,17,1,0.000049900000,49899
Python,pequena,1000,medio,1,32,0,0.000050700000,50700
Python,pequena,1000,medio,2,32,0,0.000051000001,51000
Python,pequena,1000,medio,3,32,0,0.000050900000,50900
Python,pequena,1000,medio,4,32,0,0.000051000001,51000
Python,pequena,1000,medio,5,32,0,0.000050799999,50799
Python,pequena,1000,medio,6,32,0,0.000050500001,50500
Python,pequena,1000,medio,7,32,0,0.000050800001,50800
Python,pequena,1000,medio,8,32,0,0.000050700000,50700
Python,pequena,1000,medio,9,32,0,0.000054100001,54100
Python,pequena,1000,medio,10,32,0,0.000053700000,53699
Python,pequena,1000,medio,11,32,0,0.000054099999,54099
Python,pequena,1000,medio,12,32,0,0.000054299999,54299
Python,pequena,1000,medio,13,32,0,0.000054299999,54299
Python,pequena,1000,medio,14,32,0,0.000054400001,54400
Python,pequena,1000,medio,15,32,0,0.000054200000,54199
Python,pequena,1000,medio,16,32,0,0.000054500000,54500
Python,pequena,1000,medio,17,32,0,0.000054600001,54600
Python,pequena,1000,medio,18,32,0,0.000054500000,54500
Python,pequena,1000,medio,19,32,0,0.000054500000,54500
Python,pequena,1000,medio,20,32,0,0.000054600001,54600
Python,pequena,1000,medio,21,32,0,0.000061100000,61099
Python,pequena,1000,medio,22,32,0,0.000051500001,51500
Python,pequena,1000,medio,23,32,0,0.000051300000,51299
Python,pequena,1000,medio,24,32,0,0.000051300000,51299
Python,pequena,1000,medio,25,32,0,0.000051400000,51400
Python,pequena,1000,medio,26,32,0,0.000051499999,51499
Python,pequena,1000,medio,27,32,0,0.000051400000,51400
Python,pequena,1000,medio,28,32,0,0.000051400000,51400
Python,pequena,1000,medio,29,32,0,0.000051400000,51400
Python,pequena,1000,medio,30,32,0,0.000051500001,51500
Python,pequena,1000,pior,1,6,0,0.000105800000,105799
Python,pequena,1000,pior,2,6,0,0.000106199999,106199
Python,pequena,1000,pior,3,6,0,0.000104600000,104599
Python,pequena,1000,pior,4,6,0,0.000105600000,105600
Python,pequena,1000,pior,5,6,0,0.000105400000,105400
Python,pequena,1000,pior,6,6,0,0.000104400000,104400
Python,pequena,1000,pior,7,6,0,0.000106399999,106399
Python,pequena,1000,pior,8,6,0,0.000104500001,104500
Python,pequena,1000,pior,9,6,0,0.000105300001,105300
Python,pequena,1000,pior,10,6,0,0.000105900001,105900
Python,pequena,1000,pior,11,6,0,0.000105600000,105600
Python,pequena,1000,pior,12,6,0,0.000105500001,105500
Python,pequena,1000,pior,13,6,0,0.000110700001,110700
Python,pequena,1000,pior,14,6,0,0.000105800000,105799
Python,pequena,1000,pior,15,6,0,0.000105900001,105900
Python,pequena,1000,pior,16,6,0,0.000104499999,104499
Python,pequena,1000,pior,17,6,0,0.000104499999,104499
Python,pequena,1000,pior,18,6,0,0.000106699999,106699
Python,pequena,1000,pior,19,6,0,0.000104400000,104400
Python,pequena,1000,pior,20,6,0,0.000118700000,118699
Python,pequena,1000,pior,21,6,0,0.000104600002,104600
Python,pequena,1000,pior,22,6,0,0.000105300001,105300
Python,pequena,1000,pior,23,6,0,0.000105600000,105600
Python,pequena,1000,pior,24,6,0,0.000105100000,105099
Python,pequena,1000,pior,25,6,0,0.000105599998,105599
Python,pequena,1000,pior,26,6,0,0.000105000001,105000
Python,pequena,1000,pior,27,6,0,0.000118700000,118699
Python,pequena,1000,pior,28,6,0,0.000106100000,106100
Python,pequena,1000,pior,29,6,0,0.000105499999,105499
Python,pequena,1000,pior,30,6,0,0.000103900000,103899
Python,media,10000,melhor,1,17,1,0.000505600001,505600
Python,media,10000,melhor,2,17,1,0.000497100000,497099
Python,media,10000,melhor,3,17,1,0.000496600001,496600
