linguagem,tamanho_nome,tamanho_n,cenario,padrao_m,execucoes,media_tempo_segundos,desvio_padrao_segundos,media_tempo_ns,desvio_padrao_ns
Java,pequena,1000,medio,32,30,0.000025066667,0.000000875070,25066.667,875.070
Java,pequena,1000,melhor,17,30,0.000026220000,0.000005563948,26220.000,5563.948
Java,pequena,1000,pior,6,30,0.000034620000,0.000014446820,34620.000,14446.820
Java,media,10000,medio,32,30,0.000096453333,0.000002592793,96453.333,2592.793
Java,media,10000,melhor,17,30,0.000095006667,0.000007651321,95006.667,7651.321
Java,media,10000,pior,6,30,0.000194326667,0.000024398105,194326.667,24398.105
Java,grande,100000,medio,32,30,0.000159533333,0.000004294129,159533.333,4294.129
Java,grande,100000,melhor,17,30,0.000186650000,0.000036330008,186650.000,36330.008
Java,grande,100000,pior,6,30,0.000341530000,0.000083208148,341530.000,83208.148
Python,pequena,1000,medio,32,30,0.000052733334,0.000002249342,52733.000,2249.200
Python,pequena,1000,melhor,17,30,0.000050360000,0.000003165286,50359.467,3165.196
Python,pequena,1000,pior,6,30,0.000106393333,0.000003549253,106392.867,3549.131
Python,media,10000,medio,32,30,0.000503966667,0.000011732341,503966.267,11732.263
Python,media,10000,melhor,17,30,0.000497846667,0.000011675667,497846.133,11675.553
Python,media,10000,pior,6,30,0.001065696667,0.000076054765,1065696.267,76054.784
Python,grande,100000,medio,32,30,0.005020890000,0.000090852986,5020889.467,90852.991
Python,grande,100000,melhor,17,30,0.004868503334,0.000079471711,4868503.000,79471.630
Python,grande,100000,pior,6,30,0.010360833333,0.000271363297,10360832.733,271363.484
